"Gene","Score"
"KRT6C",2.53395808774591
"TBX5",2.53395808774591
"RIPK3",2.53395808774591
"SYT16",2.53395808774591
"TMEM204",2.53395808774591
"SEPTIN12",2.53395808774591
"SYT17",2.53395808774591
"VAT1L",2.53395808774591
"FOXN1",2.53395808774591
"ANKRD62",2.53395808774591
"MC5R",2.53395808774591
"AMH",2.53395808774591
"OR7A5",2.53395808774591
"CRX",2.53395808774591
"ZNF418",2.53395808774591
"CD207",2.53395808774591
"MT1H",2.52662559604895
"AANAT",2.52662559604895
"LINGO3",2.52662559604895
"TIGD3",2.519126805627
"ANK3",2.51887974109979
"NME3",2.51680362398379
"TNFRSF13B",2.51664441941081
"ZNF19",2.51343364713486
"NOXO1",2.50934629404561
"SELPLG",2.50362692531491
"C1orf53",2.50052509022693
"GREM2",2.49953822242167
"MTRNR2L7",2.49953822242167
"LRTM2",2.49953822242167
"SOHLH2",2.49953822242167
"AGBL1",2.49953822242167
"AKAP5",2.49943810056937
"EPB41L3",2.49607870587944
"BMP10",2.49247580405334
"ALDH1A3",2.49247580405334
"PRG4",2.48983687751032
"ZNF100",2.48405627900186
"HRK",2.47887964379758
"THAP10",2.46261646722405
"FAM178B",2.45678741617351
"OR56A4",2.45274329360904
"CSMD2",2.45274329360903
"C1orf94",2.45274329360903
"MCOLN2",2.45274329360903
"PLPPR4",2.45274329360903
"KPRP",2.45274329360903
"RGS13",2.45274329360903
"CXCL12",2.45274329360903
"RBP3",2.45274329360903
"C10orf53",2.45274329360903
"MRLN",2.45274329360903
"MRGPRX3",2.45274329360903
"LUZP2",2.45274329360903
"CTSF",2.45274329360903
"GPR152",2.45274329360903
"OR2AT4",2.45274329360903
"IL10RA",2.45274329360903
"ENDOU",2.45274329360903
"LRRC10",2.45274329360903
"RASSF9",2.45274329360903
"C12orf50",2.45274329360903
"NOS1",2.45274329360903
"FZD10",2.45274329360903
"KLHL1",2.45274329360903
"TNFSF13B",2.45274329360903
"INSM2",2.45274329360903
"NUTM1",2.45274329360903
"HIGD2B",2.45274329360903
"IRX5",2.45274329360903
"CMTM2",2.45274329360903
"TERB1",2.45274329360903
"CTRB1",2.45274329360903
"SPDYE4",2.45274329360903
"MYH13",2.45274329360903
"TBC1D28",2.45274329360903
"KRTAP1-1",2.45274329360903
"KRTAP2-4",2.45274329360903
"SPPL2C",2.45274329360903
"SMIM36",2.45274329360903
"NOG",2.45274329360903
"CACNG5",2.45274329360903
"KCNJ16",2.45274329360903
"MC2R",2.45274329360903
"DYNAP",2.45274329360903
"RAX",2.45274329360903
"OR7G2",2.45274329360903
"CYP2F1",2.45274329360903
"NAPSA",2.45274329360903
"SHISA7",2.45274329360903
"RNF223",2.45274329360903
"MROH7",2.45274329360903
"PITX3",2.45274329360903
"IGHG4",2.45274329360903
"SKOR2",2.45274329360903
"CD209",2.45274329360903
"PLCB2",2.45207036519633
"ABCA10",2.44715597224097
"ZNF669",2.44697907803641
"HES2",2.44369373403415
"GOLGA8K",2.43937947045714
"AP002495.1",2.43478778865294
"CLMP",2.43468271310977
"TCTN1",2.43394932713641
"ZNF10",2.43359070190997
"ZNF460",2.42923150716139
"NUDT19",2.42287131958391
"AC011330.3",2.41885383300834
"PTPRCAP",2.40833574928789
"ADM5",2.40726179215068
"C11orf96",2.40726179215068
"C12orf66",2.40373199405088
"FAM167B",2.40197142280636
"ZNF670-ZNF695",2.40002071496817
"MZF1",2.39617251326567
"EME2",2.39219711225081
"GPR135",2.38763898048586
"REP15",2.38566738793704
"MYCBPAP",2.38427096713594
"ZNF737",2.38150138022644
"SLC30A3",2.37338923050374
"DUOX1",2.37249865671486
"AC063943.3",2.36597179039815
"KCNH3",2.36409166532647
"SPOCD1",2.36217206015096
"SPNS2",2.35188077543563
"GRIK3",2.35040552473608
"TMEM88B",2.35038553586457
"C1orf159",2.34939016095963
"BIN2",2.34701060234289
"AZIN2",2.34599220579401
"CFAP43",2.33774896960526
"GGN",2.33575582424657
"MMP20",2.3347818189543
"PCED1B",2.33440492605681
"ARHGAP23",2.3321097133619
"TPSG1",2.33178146314329
"LRRIQ1",2.33033993456928
"CARMIL2",2.32385054479719
"INAFM1",2.31621611214464
"ST3GAL4",2.31435298420996
"NKX6-2",2.30831228764757
"OSR1",2.30817739138847
"RRNAD1",2.30786727958932
"HSPB6",2.3044102524116
"ZNF548",2.30363575019687
"DMWD",2.30290864924101
"NUTM2D",2.30100716737151
"VAMP1",2.29984315666936
"MYLK3",2.29772269546383
"ISYNA1",2.2970948159723
"SYT2",2.29500912528477
"CCDC17",2.29257755665228
"SHF",2.29176365776525
"CACNB2",2.29159279013978
"TMEM39B",2.28978652439994
"C1orf74",2.28929914141863
"ATP8A2",2.28897150551303
"ZNF763",2.2883683879726
"DUSP10",2.28603079225764
"OGFOD2",2.28582272965055
"FCGBP",2.28380541350062
"BCAT2",2.2832531889949
"AC010619.1",2.28319122976068
"C17orf64",2.28271973103875
"RNFT2",2.27910252811044
"TNNI1",2.26762120262046
"ZNF808",2.26608428572606
"ZNF695",2.26391555491574
"LYPD3",2.26341865044247
"BCL2L15",2.26094897995006
"NXPE4",2.26094897995006
"CFD",2.26087420125181
"ST20",2.25824042096662
"KPTN",2.25668156196507
"WNT11",2.25615280927063
"ZNF154",2.25527614068704
"NUDT22",2.25499182151789
"CACNB1",2.25362599076357
"PTPRE",2.25313126215686
"C2CD4D",2.25313126215686
"RYR2",2.25313126215686
"ANKRD35",2.25152461253378
"FLG",2.25035082477824
"PRRG4",2.24498011075566
"IZUMO4",2.24397666111381
"TBC1D3C",2.23920380641432
"MLLT11",2.23079646517462
"GSTM1",2.23068925074024
"DUSP8",2.22979281905617
"KISS1",2.22769557349988
"ASF1B",2.22523232151578
"FDXACB1",2.22519959497818
"ARHGDIG",2.22468453069128
"ZNF440",2.22384795050345
"C1orf54",2.22356654781031
"GRAMD2A",2.22227967073926
"MYPN",2.22227967073926
"PRKCB",2.22227967073926
"ZSCAN18",2.22227967073926
"CD79B",2.22227967073926
"MAPK8IP1",2.21816552741738
"ZNF324B",2.21551535094758
"MIP",2.21090756398238
"MKRN3",2.20887073635179
"S1PR2",2.20152885167108
"H2AC20",2.19880376432465
"IRF7",2.19273468593094
"ZNF527",2.18960125282974
"CEMP1",2.18958911769683
"POU2F3",2.18395449932946
"MIEF2",2.18368641478651
"ZNF430",2.18292543711158
"AC091551.1",2.18173369236279
"DEGS2",2.1804380348675
"TTLL13P",2.17958452359471
"RHOF",2.17947369896873
"DEPDC4",2.17916599296988
"ZNF230",2.17552536302156
"ICAM3",2.17514129775378
"KDF1",2.1738384830319
"AC026464.3",2.1722484146316
"S100A2",2.17167860317424
"GRWD1",2.16896800921329
"TOMM20L",2.16826306922765
"RHCE",2.16798405061503
"ERN2",2.16410947334073
"C1orf194",2.1626764774823
"CD53",2.1626764774823
"FLG2",2.1626764774823
"WDR64",2.1626764774823
"CCDC3",2.1626764774823
"NPY4R2",2.1626764774823
"ACSM6",2.1626764774823
"SCT",2.1626764774823
"RNF151",2.1626764774823
"CD300LB",2.1626764774823
"AC243967.1",2.1626764774823
"RAB11FIP2",2.1609725004187
"CHGA",2.15841605763125
"PRH2",2.15758974271588
"BRINP2",2.1570254279937
"ALG8",2.15538536019554
"GOLGA6B",2.15318056533809
"CDC14A",2.15315299044417
"ZNF670",2.15311610119723
"MYBPHL",2.15229975596489
"RNASE13",2.14804221599452
"ADAMTSL3",2.1466049836216
"ZNF442",2.14513407223016
"POLA2",2.14359231250001
"TEFM",2.13837779843694
"HOXC8",2.13831640554423
"TSSC4",2.13827724556462
"CCDC144A",2.13772988518077
"HCFC2",2.13496422384043
"NPIPB9",2.13292601107858
"CLN6",2.13262221949445
"ZBTB48",2.13243159896128
"RPUSD1",2.13169463349952
"TSPAN1",2.13113758506434
"SLC35G6",2.13110059327844
"SLX1B",2.13048033459015
"PARPBP",2.12849547677956
"SARS2",2.12611338315521
"RUSC1",2.12526238483894
"CMA1",2.12391183116851
"PANX1",2.12288474286858
"SMPD1",2.12063996819741
"TSSK4",2.11693499748058
"MORN4",2.11545093810657
"ME2",2.1141127714163
"ZNF611",2.11404925433183
"ZNF431",2.1139311780517
"MUC6",2.11378212884945
"CD226",2.11346726621468
"HEXD",2.11129895745905
"AC011530.1",2.10496112440514
"MRPL54",2.10464731397679
"TRAF6",2.10397367353486
"POTEB3",2.10181017415417
"ACOT6",2.10109959458294
"PRICKLE1",2.10009184611681
"CBLC",2.09971274110835
"LIPT2",2.09766254661336
"ATP8B4",2.09750227541074
"C1orf174",2.09719666402258
"LEMD1",2.09686482417971
"ZNF416",2.09593142762772
"TXNDC16",2.09558577858298
"DCLRE1C",2.09376642870513
"POLE2",2.09079415133443
"SOX8",2.09056866060509
"TMEM91",2.08956222474647
"ALKBH7",2.08933986367932
"TTC7B",2.0890683777924
"ETNK1",2.08815283231045
"TMEM54",2.08648764814297
"WDR18",2.08192099019029
"EVA1B",2.07548792459404
"NR4A1",2.07514387791003
"TMEM262",2.07453719801042
"CASP9",2.07390159872728
"THAP2",2.07302778033771
"CEP76",2.06999891293686
"LINC02210-CRHR1",2.06989698132924
"TBC1D3H",2.06958583709778
"ARHGAP44",2.06596175437644
"BAIAP2",2.06364253992838
"SCG5",2.06353684247371
"DCAF15",2.0622924554326
"C18orf54",2.06139826072012
"ZNF473",2.06111644997785
"CD27",2.06071611150196
"TRIM9",2.05988633410992
"EIF2B3",2.05988272229835
"TTLL7",2.05834471723388
"PPIE",2.05752540729628
"DIRAS1",2.05704726407147
"SGMS1",2.05670806723383
"FNDC10",2.05645234743215
"EFCAB5",2.0548453810462
"EMP3",2.05373970071789
"TUBGCP3",2.05274702116444
"MRM1",2.05128500256643
"ZSCAN4",2.05079999588497
"SEC31B",2.0504902215372
"PLEKHF1",2.04930004956598
"CFAP251",2.04828005569566
"ANKLE1",2.04798616810095
"FAM81A",2.04700254294775
"STOML1",2.04528236246936
"AC129492.3",2.04407926563932
"LOXL3",2.04366838197333
"SLC35G1",2.04220584869983
"H4C14",2.04150408114628
"TAPBPL",2.04140401525417
"ZNF69",2.04001764753586
"SLC45A3",2.03938841634378
"ACD",2.03772542091179
"FANK1",2.03656164335223
"EPHA10",2.0350493584018
"PSTPIP1",2.0339629049613
"NETO2",2.03363867350538
"SMAGP",2.03141423850528
"DNAAF1",2.0310707278166
"AL445423.3",2.03038827742227
"IL21R",2.02946237969979
"ST14",2.02546141824164
"CYP26B1",2.02342031861003
"AC009690.3",2.02185650209763
"KIRREL2",2.02140611381864
"LRRC28",2.02023547102301
"EPC1",2.01920173092854
"MUC2",2.01801129759908
"NR1D1",2.01791928696437
"CEACAM19",2.01758358291227
"GP1BA",2.01625678729949
"NUDT5",2.01126991240182
"AC010646.1",2.01084943850526
"PSMB10",2.01047142546193
"TBCEL-TECTA",2.00897239032775
"SNAPIN",2.00767390400262
"FLRT2",2.00577883846321
"SEZ6",2.00403381663999
"AC010522.1",2.00395390025524
"TRPV1",2.00323294468168
"KCNJ14",2.00312234391523
"RNF138",2.00311399098101
"LRRC8E",2.00272664840695
"MMP25",2.00215873247688
"ATAD3B",2.00199990562586
"PTRHD1",2.001421563439
"LYPLAL1",2.00058875683798
"SERTAD3",1.99924804447437
"FPGT-TNNI3K",1.99718130840112
"CTPS1",1.99543711930077
"TRIM13",1.99390351700162
"SNAPC2",1.99339017005252
"GJC1",1.99212323862179
"ACP5",1.99201328330221
"ELAVL3",1.99153202848461
"ANO3",1.99028138396507
"MUC15",1.98974411044605
"DGKE",1.98956361870965
"PTGES3L",1.98808340244502
"KRT80",1.9861917809465
"IFT20",1.98580304291579
"KLHL26",1.98416470741219
"LIN37",1.98403216069941
"NDUFAF1",1.97987204572451
"CCDC24",1.9779647702444
"ADGRL2",1.97793128612323
"YARS2",1.97610544109034
"UBXN2A",1.9758350510605
"ZNF506",1.97563838517114
"ZNF256",1.97532155206739
"GPR161",1.97368722451542
"PSMA1",1.97337738018948
"TIMM10",1.97320694952725
"SCIMP",1.97234763807036
"EID2",1.97226594279603
"DNAAF2",1.97120111404736
"GHDC",1.97067335898641
"CACNA1A",1.97049253430442
"ZNF563",1.9699816959425
"ZNF626",1.96941071794097
"SLC22A18AS",1.96737546294004
"AC104389.5",1.9662954680288
"FAM186B",1.96490583199266
"CYP2R1",1.96477628622903
"RHEX",1.96436562635665
"TTC39A",1.96238635389011
"CLCF1",1.96196629161043
"TMEM102",1.96196490204683
"HCST",1.96185242880451
"UTS2",1.9618195703293
"ZNF26",1.96170953281678
"ZNF235",1.96081903194552
"TRABD2A",1.96076207190911
"SLC44A5",1.96013991482121
"CLP1",1.96004470756868
"NEXN",1.95985431587206
"AC055811.2",1.95890287049643
"COPS3",1.95854743223787
"RAB40C",1.95781639989823
"NOL4",1.95779334740919
"ALDH16A1",1.95487755058284
"SNN",1.95438137594509
"AP003071.5",1.95365460067161
"MCOLN1",1.95363167893322
"ZNF461",1.95331216977619
"PELI1",1.95176976657579
"VSIG10L2",1.95119877007561
"DOHH",1.94764632507947
"ZFAND4",1.94759237526421
"TYW3",1.9475588957155
"PLGLB1",1.94512924977718
"AP000944.5",1.94497011938035
"TADA1",1.94409423326408
"HASPIN",1.94409047443061
"TENT5C",1.94230596021583
"USE1",1.94120586604587
