Gene names,LFQ intensity HeLa_1,LFQ intensity HeLa_2,LFQ intensity HeLa_3,LFQ intensity HeLa_4,N: Intensity,(-log10),P-value,FC,FC2
KDSR,0.943055,0.785405,-0.86423,-0.86423,1507700,2.68334,0.00207329,3.313739055,1.72846
GOLGA3,0.476092,1.18239,-0.829242,-0.829242,387610,1.37188,0.042473691,3.156837502,1.65848
SLFN5,0.782345,0.945843,-0.864094,-0.864094,771890,2.65167,0.002230129,3.313118948,1.72819
BPTF,0.746427,0.977874,-0.862151,-0.862151,541600,2.34931,0.004473938,3.304197677,1.7243
STX5,0.815338,0.91527,-0.865304,-0.865304,1824000,3.07959,0.000832549,3.318681091,1.73061
AAMP,-0.844051,-0.844051,0.569906,1.1182,391100,1.59561,0.025374062,0.310335361,-1.6881
CKAP5,0.990491,0.729042,-0.926952,-0.792581,7298800,2.14104,0.007227032,3.293291009,1.71953
FRG1,0.890078,0.841634,-0.865856,-0.865856,1235000,3.70867,0.000195583,3.321212423,1.73171
GNA13,0.777577,0.950169,-0.863873,-0.863873,1146800,2.6046,0.002485421,3.312108651,1.72775
MESD,-0.865904,-0.865904,0.845425,0.886384,2518500,3.85445,0.000139814,0.301073994,-1.73181
WTAP,0.864791,0.788547,-0.463649,-1.18969,1977100,1.34251,0.045445407,3.145610407,1.65334
SART3,-1.15308,-0.517653,0.777175,0.893557,9735800,1.45097,0.03540218,0.314094372,-1.67073
RAB3GAP1,1.14873,0.526504,-0.837618,-0.837618,798920,1.4841,0.032801976,3.193724794,1.67524
POLD3,0.760876,0.965142,-0.863009,-0.863009,1160800,2.45803,0.003483133,3.308139334,1.72602
ACAP2,-0.843605,-0.843605,0.56673,1.12048,633730,1.5869,0.025888089,0.310526867,-1.68721
PCBP1,-0.925435,-0.744909,0.524002,1.14634,83943000,1.44823,0.035626241,0.314179292,-1.67034
ELOC,-1.12974,-0.518091,1.04483,0.602998,17503000,1.31313,0.048626163,0.319119793,-1.64783
TSC22D1;TSC22D2,0.853557,0.878404,-0.865981,-0.865981,2101200,4.28861,5.14505E-05,3.321787996,1.73196
CCDC6,-0.86586,-0.86586,0.889794,0.841926,1252200,3.71906,0.000190959,0.301092776,-1.73172
UAP1,-0.743936,-0.907457,0.465466,1.18593,3105900,1.33191,0.046568259,0.318333303,-1.65139
ATP6V1F,-0.86086,-0.86086,0.727287,0.994432,833130,2.22439,0.005964994,0.303187042,-1.72172
LSM12,0.45591,1.19534,-0.825624,-0.825624,892240,1.33114,0.046650897,3.141056731,1.65125
VPS26B,0.856998,0.875006,-0.866002,-0.866002,505740,4.56825,2.7024E-05,3.321880096,1.732
FAM98B,0.808637,0.902882,-1.03778,-0.673744,5612900,1.92615,0.011853593,3.275056964,1.71152
EIPR1,0.77259,0.954669,-0.86363,-0.86363,421740,2.55806,0.002766559,3.31098391,1.72726
COA6,0.784877,0.943537,-0.864207,-0.864207,1853000,2.67779,0.002099955,3.313624212,1.72841
DNTTIP2,0.874059,0.857929,-0.859306,-0.872682,3394900,4.43662,3.65915E-05,3.321857071,1.73199
COX20,-0.865965,-0.865965,0.880465,0.851465,697640,4.15436,7.00874E-05,0.301048952,-1.73193
CHCHD2;CHCHD2P9,0.878386,0.853576,-0.865981,-0.865981,1177300,4.28995,5.1292E-05,3.321787996,1.73196
QNG1,-0.864382,-0.864382,0.939791,0.788974,530730,2.72187,0.001897274,0.301711167,-1.72876
ARHGEF16,-0.855376,-0.855376,0.663895,1.04686,247360,1.91019,0.012297307,0.30550121,-1.71075
RNF213,0.985249,0.737952,-0.861601,-0.861601,804590,2.29163,0.005109401,3.301679312,1.7232
SMYD5,0.927448,0.802342,-0.864895,-0.864895,622680,2.88434,0.001305149,3.316795352,1.72979
ZCCHC8,0.477296,1.18161,-0.829453,-0.829453,783080,1.37438,0.042229895,3.157778548,1.65891
COX15,0.670004,1.04196,-0.855982,-0.855982,1170100,1.93567,0.011596582,3.276055959,1.71196
DHX30,1.07642,0.586151,-0.590781,-1.07179,5739300,1.39669,0.040115296,3.165799746,1.66257
ENOSF1,-0.627112,-1.0707,0.946505,0.751307,1001500,1.70404,0.019767876,0.308253675,-1.69781
MRPL21,0.911385,0.754004,-0.505513,-1.15988,3201400,1.41468,0.038487526,3.171993907,1.66539
TMED4,-0.861941,-0.861941,0.980744,0.743138,1367300,2.32644,0.00471585,0.302733451,-1.72388
SYVN1,0.799661,0.929938,-0.8648,-0.8648,590770,2.84914,0.001415337,3.316358566,1.7296
CAND1,-1.04503,-0.665021,0.813136,0.896918,47187000,1.89621,0.012699599,0.305649476,-1.71005
ERC1,0.991011,0.731275,-0.861143,-0.861143,869390,2.24889,0.005637804,3.299597389,1.72229
CCDC50,-0.855226,-0.855226,1.04804,0.662413,1147800,1.90413,0.012470102,0.305564744,-1.71045
CCAR1,0.945384,0.780989,-0.918525,-0.807848,7943900,2.48435,0.00327831,3.308941991,1.72637
NELFCD,-0.86263,-0.86263,0.754278,0.970982,1275200,2.40659,0.003921119,0.302444011,-1.72526
RPUSD2,0.877559,0.854414,-0.865987,-0.865987,1364700,4.35027,4.46406E-05,3.321811021,1.73197
PELP1,0.984096,0.668013,-1.15816,-0.493953,15337000,1.33578,0.046155132,3.142929694,1.65211
ABI1,1.0439,0.667594,-0.855745,-0.855745,1738000,1.92552,0.0118708,3.274988862,1.71149
ABHD12,0.736682,0.986348,-0.861515,-0.861515,919140,2.28333,0.005207988,3.301290282,1.72303
ARFGAP2,1.05531,0.653252,-0.85428,-0.85428,1272100,1.86765,0.01356282,3.268344367,1.70856
LRRC57,0.606577,1.09123,-0.848904,-0.848904,879830,1.704,0.019769696,3.244081355,1.69781
GOLM1,0.729688,0.992374,-0.861031,-0.861031,502490,2.23905,0.005767001,3.299071396,1.72206
DAGLB,0.594973,1.09988,-0.847428,-0.847428,409580,1.66807,0.021474843,3.237454686,1.69486
NAXE,-0.922789,-0.754234,0.544072,1.13295,18064000,1.49798,0.031770204,0.312727935,-1.67702
SRFBP1,-0.858209,-0.858209,0.694026,1.02239,551400,2.0445,0.009026097,0.304302903,-1.71642
CMAS,1.07085,0.602394,-1.04939,-0.623848,1405700,1.4691,0.033954708,3.189300419,1.67324
EXOC6,-0.85314,-0.85314,0.64265,1.06363,518030,1.82742,0.014879214,0.306449233,-1.70628
HM13,0.904731,0.821095,-0.767976,-0.957851,10091000,2.44445,0.003593768,3.307703687,1.72583
NEK9,0.452035,1.19779,-0.824913,-0.824913,642940,1.32355,0.047473363,3.137966607,1.64983
TM9SF4,0.925843,0.789189,-1.01456,-0.700471,2965100,2.00764,0.009825621,3.283034703,1.71503
AKAP1,0.521203,1.15236,-0.836782,-0.836782,783050,1.47151,0.033766807,3.190007907,1.67356
TFG,-0.598765,-1.0652,0.584569,1.0794,10179000,1.40552,0.039307914,0.31556957,-1.66397
UFD1,-0.862965,-0.862965,0.76009,0.96584,1587000,2.45173,0.003534028,0.302303586,-1.72593
TNPO1,-1.06927,-0.615378,0.67066,1.01399,47086000,1.56279,0.027365917,0.311078372,-1.68465
RFK,-0.86532,-0.86532,0.914748,0.815892,278670,3.089,0.000814704,0.301318258,-1.73064
GTPBP3,-0.865755,-0.865755,0.896357,0.835153,461570,3.50555,0.000312212,0.301136607,-1.73151
AIDA,1.04162,0.670425,-0.856024,-0.856024,634810,1.93746,0.011548883,3.276260336,1.71205
OTULIN,0.670734,1.04137,-0.856054,-0.856054,1744900,1.93877,0.0115141,3.276396595,1.71211
OPTN,0.785895,0.942608,-0.864251,-0.864251,653560,2.68852,0.002048708,3.313830933,1.7285
MSI2,1.00607,0.713585,-0.859829,-0.859829,1297400,2.14541,0.007154676,3.293587778,1.71966
MRRF,-0.914108,-0.748436,1.16461,0.497939,5686400,1.39654,0.040129154,0.315882518,-1.66254
SUCLG2,-0.501417,-1.16288,0.907427,0.756874,12707000,1.40765,0.0391156,0.315497395,-1.6643
TXNDC15,-0.866009,-0.866009,0.858565,0.873454,1836000,4.73344,1.8474E-05,0.301030172,-1.73202
ELMO2,0.849062,0.882824,-0.865943,-0.865943,1520200,4.02232,9.49905E-05,3.321626825,1.73189
ZFR,0.658977,0.995674,-0.50682,-1.14783,6942000,1.34982,0.044686877,3.148467991,1.65465
MCCC1,0.751455,0.973467,-0.862461,-0.862461,386470,2.38553,0.004115949,3.305617965,1.72492
TP53RK,-0.861645,-0.861645,0.738613,0.984676,1881800,2.29599,0.005058363,0.302857281,-1.72329
SRPK1,0.859448,0.872192,-0.891707,-0.839933,5429100,3.62536,0.000236941,3.321051281,1.73164
SDHC,0.873505,0.858513,-0.866009,-0.866009,2303300,4.72748,1.87292E-05,3.321926148,1.73202
TSG101,-0.826112,-0.826112,0.458583,1.19364,1047500,1.33641,0.046088227,0.318150215,-1.65222
GINS4,0.968095,0.757545,-0.86282,-0.86282,972180,2.43166,0.003701178,3.307268098,1.72564
THUMPD3,0.83413,0.897344,-0.865737,-0.865737,629100,3.47748,0.000333058,3.320659968,1.73147
ADI1,-0.862502,-0.862502,0.972861,0.752143,658260,2.39062,0.004067991,0.302498522,-1.725
C2orf49,-1.12916,-0.55455,0.846023,0.837686,1053600,1.55424,0.027910011,0.311281124,-1.68371
UBXN6,-0.840431,-0.840431,0.544879,1.13598,787070,1.52939,0.029553573,0.311896658,-1.68086
XPO4,0.962475,0.763873,-0.863174,-0.863174,699000,2.4825,0.003292305,3.30889612,1.72635
ISCU,0.991645,0.730537,-0.861091,-0.861091,985850,2.2443,0.005697706,3.299345817,1.72218
VPS33B,-0.866012,-0.866012,0.859174,0.87285,1156000,4.80724,1.55869E-05,0.301030172,-1.73202
SLC6A15,-0.737671,-0.984384,0.906264,0.815792,4786800,2.23874,0.005771119,0.303115598,-1.72206
NELFA,-0.760296,-0.955462,0.721623,0.994134,2502700,2.02655,0.009406975,0.304442146,-1.71576
RNPEP,-0.811244,-0.892544,1.06846,0.635329,22465000,1.78735,0.016317364,0.306978602,-1.70379
GOLPH3,0.95411,0.773211,-0.86366,-0.86366,970010,2.56371,0.002730801,3.311121613,1.72732
DHX33,1.06138,0.645532,-0.853454,-0.853454,263070,1.83816,0.014515767,3.264608521,1.70691
PHAX,0.482774,1.17804,-0.830407,-0.830407,680880,1.38585,0.041129175,3.161940018,1.66081
TMT1A,-0.865751,-0.865751,0.896596,0.834906,403270,3.49868,0.00031719,0.301138694,-1.7315
L2HGDH,-0.864408,-0.864408,0.789581,0.939234,679570,2.7286,0.001868099,0.301698619,-1.72882
RHOF,0.746004,0.978245,-0.862124,-0.862124,1010900,2.34632,0.004504847,3.304083164,1.72425
GPN1,-0.832698,-0.832698,0.496206,1.16919,685050,1.41473,0.038483096,0.315256932,-1.6654
TM9SF3,-0.866017,-0.866017,0.860547,0.871486,1654600,5.00124,9.97149E-06,0.301028086,-1.73203
SARS2,0.541126,1.13861,-0.839867,-0.839867,579460,1.51992,0.030205081,3.203679886,1.67973
ANLN,-0.854661,-0.854661,1.05242,0.656897,385980,1.88197,0.013122905,0.305804173,-1.70932
KIF15,0.785343,0.943111,-0.864227,-0.864227,449550,2.6827,0.002076347,3.313716086,1.72845
ABCF3,-0.652617,-1.04863,0.967567,0.733678,3221700,1.74993,0.017785661,0.307519542,-1.70125
POLR3B,-0.831763,-0.831763,0.490676,1.17285,353530,1.40271,0.039563071,0.315665829,-1.66353
THG1L,-0.862508,-0.862508,0.972775,0.752242,693970,2.39135,0.004061159,0.302494329,-1.72502
MRPL16,0.481516,1.17886,-0.830189,-0.830189,2147300,1.3832,0.041380906,3.160997732,1.66038
NHP2,1.01,0.676077,-0.61786,-1.06821,10723000,1.57601,0.026545444,3.217789608,1.68607
COMMD9,1.09429,0.602486,-0.84839,-0.84839,1191900,1.69115,0.020363386,3.241766097,1.69678
CNIH4,-0.829836,-0.829836,1.18018,0.479489,2438600,1.37895,0.041787847,0.316511539,-1.65967
RELCH,0.815751,0.91488,-0.865316,-0.865316,770820,3.0866,0.000819219,3.318727098,1.73063
CDV3,-0.673581,-1.0166,1.05059,0.639594,8465200,1.61666,0.024173526,0.309888259,-1.69018
PSME2,0.594159,1.05179,-0.517888,-1.12806,13463000,1.30353,0.049713003,3.129516971,1.64594
ZBTB21,0.853911,0.878056,-0.865983,-0.865983,485980,4.3135,4.85848E-05,3.321811021,1.73197
ZMYND8,0.70405,1.01407,-0.859061,-0.859061,377410,2.09465,0.008041739,3.290073924,1.71812
NENF,-0.855277,-0.855277,0.662919,1.04764,1119700,1.9062,0.012410806,0.305543565,-1.71055
TNRC6B,-0.865003,-0.865003,0.805502,0.924504,259400,2.92782,0.00118081,0.301449867,-1.73001
