Geneid,GroupA_1,GroupA_2,GroupA_3,GroupB_1,GroupB_2,GroupB_3,foldchange,pvalue
LDHA,20216,29873,26436,32995,23740,40435,1.036644184,0.222308466
LDHAL6A,5,2,2,4,4,2,0.968046315,0.429917848
TSG101,1121,1588,1370,1999,1465,2383,1.065832537,0.338097814
UEVLD,424,516,467,700,576,787,1.025527529,0.503503192
SPTY2D1OS,260,325,305,415,352,532,0.985663829,0.668795995
SPTY2D1,2416,3385,2798,3746,3185,4930,1.011697081,0.670364373
TMEM86A,4,7,4,0,2,4,1.048030912,0.246607055
IGSF22,0,0,0,2,0,4,0.994087435,0.851252387
PTPN5,2,0,0,0,0,2,0.994870163,0.913896086
MRGPRX2,0,0,0,0,2,0,1.030039272,0.633840404
ZDHHC13,103,107,90,149,109,201,1.06169807,0.068484703
E2F8,178,235,238,265,202,330,1.087155743,0.018227916
NAV2,928,1308,1043,1391,1042,1719,0.967806438,0.459775864
DBX1,0,0,0,0,0,2,0.947346678,0.12491103
HTATIP2,0,4,0,2,0,2,0.985850556,0.673831139
PRMT3,457,642,516,774,599,936,0.958579847,0.345445507
SLC6A5,0,0,0,0,0,2,0.939618494,0.084939156
ANO5,0,0,2,4,2,6,0.977583609,0.41654272
SLC17A6,0,0,0,0,0,4,1.095579592,0.107541412
FANCF,202,245,173,231,201,318,1.035379904,0.387166142
GAS2,264,405,420,494,316,682,0.991706261,0.779492
SVIP,1837,2079,1827,2796,2096,2801,1.051135194,0.19148722
LUZP2,0,0,0,2,2,0,0.998179786,0.973571292
ANO3,41,52,50,79,56,84,0.977625286,0.467932336
MUC15,269,308,289,435,339,564,1.007831893,0.806991787
FIBIN,0,0,0,0,2,0,1.067616094,0.128193238
BBOX1,2,2,2,0,2,0,1.027701033,0.455715312
CCDC34,2284,2645,3639,4364,2751,5841,1.001557078,0.964160865
LGR4,1345,1856,1943,2467,1644,3234,0.999403314,0.984140969
LIN7C,406,541,522,653,519,824,0.986113072,0.709518136
BDNF,0,0,2,2,2,0,0.750084908,0.519735906
KIF18A,151,292,268,378,227,431,1.007150281,0.839573802
METTL15,272,315,318,410,302,482,1.011762692,0.843700035
KCNA4,2,2,4,0,0,6,0.897725375,0.046282998
ARL14EP,384,463,344,609,444,664,1.031831115,0.328426176
DCDC1,10,22,22,17,8,23,0.997286715,0.910204552
DNAJC24,344,440,392,557,455,715,0.97394355,0.27712213
IMMP1L,28,66,38,53,48,74,1.008265791,0.89151296
ELP4,64,67,58,114,82,144,0.891117436,0.178584395
PAX6,182,246,114,286,230,150,0.975092172,0.421748853
AL035078.4,2322,3951,2435,4012,2804,4424,0.989929491,0.713542594
RCN1,2984,5067,3136,5152,3658,5733,0.554887356,0.000104815
WT1,2,0,0,10,0,6,0.939895809,0.371243777
EIF3M,1447,1847,1686,2305,1831,2823,0.83663072,0.018556888
CCDC73,197,224,205,265,266,303,0.50030869,6.41991E-06
PRRG4,42,44,18,50,65,63,1.110209303,0.583320152
QSER1,1330,1801,1436,2233,1626,2751,1.023562185,0.622762515
DEPDC7,697,926,851,1224,857,1568,1.028984945,0.34070386
TCP11L1,773,1041,957,1238,1000,1821,0.830398797,0.001525345
CSTF3,2920,3866,3995,5021,3750,6978,0.756470224,3.05528E-07
HIPK3,1205,1494,1347,1857,1364,2232,0.988149544,0.552439144
KIAA1549L,28,65,32,61,36,79,0.944801146,0.071752046
C11orf91,3,1,0,3,6,16,1.666647439,1.70005E-09
AL049629.2,1161,1499,958,1641,1405,1672,0.994958339,0.809701083
CD59,1942,2654,1705,2957,2501,2987,1.327666719,0.195824008
FBXO3,668,828,648,989,786,1166,0.996605989,0.927775924
LMO2,0,0,0,2,0,0,1.158192025,0.026825535
CAPRIN1,9307,12361,10558,14891,11217,17015,1.501885205,2.30837E-05
NAT10,6059,8249,7072,10271,7456,11583,1.038033659,0.588187226
ABTB2,687,886,674,1181,834,1219,1.2215338,0.001769057
CAT,959,1212,1137,1541,1169,1865,1.746336305,1.20922E-05
ELF5,85,76,56,96,81,90,0.923880354,0.13468418
EHF,36,14,28,46,16,32,0.972401676,0.340219798
APIP,247,260,246,314,249,471,0.977601416,0.617993302
PDHX,2187,2993,2463,3773,2866,4556,0.947323596,0.149046163
CD44,18,6,0,6,12,8,1.019902783,0.681641662
SLC1A2,54,142,136,122,88,158,0.979651431,0.475315181
PAMR1,0,0,0,0,2,0,1.162354031,0.001115443
FJX1,64,66,69,83,74,90,1.014895246,0.66913663
TRIM44,6843,9228,8393,11275,8579,14115,1.052509025,0.189537785
LDLRAD3,16,14,18,30,18,22,1.394185849,8.69919E-10
COMMD9,198,228,215,306,229,332,1.024075105,0.481474618
PRR5L,1,4,4,4,4,4,1.071578719,0.373273052
TRAF6,85,130,110,156,156,181,1.081727002,0.241766276
RAG1,6,10,8,8,10,4,0.944289379,0.116809325
RAG2,107,129,145,157,152,206,0.94534607,0.1923639
IFTAP,502,710,610,860,621,1018,1.010193614,0.765261691
API5,2512,3096,2703,4166,3027,4621,0.99923106,0.989660063
TTC17,1372,1962,1528,2220,1746,2584,0.976768719,0.4988469
HSD17B12,523,844,705,788,603,1160,0.999551939,0.991228759
ALKBH3,662,906,703,1018,847,1227,0.950214295,0.135115921
C11orf96,0,4,0,2,4,6,0.993114783,0.745888887
ACCS,0,4,4,4,2,10,1.382959394,0.000917011
EXT2,942,1332,1102,1483,1233,2126,0.979826001,0.458614588
ALX4,4,0,0,0,0,2,1.090467701,0.091598114
CD82,2,6,4,2,0,0,1.265129659,0.000827232
TSPAN18,0,0,2,0,2,0,1.008890249,0.77254525
TP53I11,0,0,0,0,4,0,0.938924238,0.156655748
PRDM11,196,239,242,335,244,465,0.969170095,0.70483497
SYT13,35,32,16,28,29,40,1.020366879,0.823918704
SLC35C1,394,527,363,637,488,754,1.007682889,0.811503003
CRY2,163,212,177,246,190,302,0.962835777,0.231351052
MAPK8IP1,147,213,165,300,224,307,0.719572398,0.132691332
C11orf94,0,0,0,0,0,2,1.13718128,0.1440518
PEX16,179,270,196,279,244,347,0.980047692,0.522683319
LARGE2,27,55,16,33,27,62,0.9090242,0.123282218
PHF21A,718,1041,868,1291,931,1335,0.993753005,0.82845578
CREB3L1,4,0,0,4,8,12,0.995162842,0.892899301
DGKZ,1020,1384,1084,1626,1387,1822,1.053590882,0.138289262
MDK,6271,9460,9161,11312,7688,15093,1.411980982,0.073207353
CHRM4,2,0,2,4,2,0,2.497924627,0.111029597
AMBRA1,688,902,816,1129,804,1351,1.002864054,0.938768887
HARBI1,198,254,222,272,234,401,1.040743252,0.46563016
ATG13,664,895,771,971,730,1348,0.99996646,0.999841691
ARHGAP1,289,504,368,576,474,665,1.019228677,0.527785647
ZNF408,266,390,317,388,326,525,0.978644006,0.363058603
F2,3502,5271,4563,5588,4150,7975,1.072985363,0.278430852
CKAP5,6593,8293,7702,10947,7614,12975,1.115030466,0.055167696
LRP4,424,632,528,814,575,995,0.705298066,2.17968E-05
C11orf49,119,150,119,182,139,235,1.044475534,0.319956624
ARFGAP2,1172,1607,1291,1895,1525,2249,1.050231069,0.249095454
PACSIN3,2576,3232,2973,4454,3034,5141,1.014443778,0.692629654
DDB2,873,1034,1009,1338,962,1709,0.975745995,0.436715613
ACP2,366,532,479,562,482,855,0.985620969,0.716804143
NR1H3,360,500,544,523,446,744,0.972362464,0.888581366
MADD,1022,1204,1072,1618,1207,1874,0.946491457,0.239606736
SPI1,0,0,2,0,2,0,1.02329478,0.496471843
SLC39A13,197,324,208,270,215,333,0.76072183,2.60711E-05
PSMC3,9358,12762,11018,16042,11754,19134,0.983420901,0.62228928
RAPSN,5,10,12,7,11,20,0.998791724,0.96600181
CELF1,1819,2474,2172,3075,2418,3571,0.985894263,0.641032509
NDUFS3,1278,1770,1444,2213,1608,2635,1.047384414,0.235066538
PTPMT1,957,1322,1068,1646,1174,1812,0.966892277,0.46020203
KBTBD4,193,233,186,326,210,301,1.007511384,0.733276004
FAM180B,2,4,0,6,0,10,0.992537135,0.750040559
MTCH2,1019,1490,1137,1706,1279,1871,0.98386946,0.758647383
AGBL2,26,23,8,24,24,32,0.812956822,0.321260024
FNBP4,5749,8261,7833,10956,7523,12578,1.078106943,0.213494311
NUP160,1465,2138,1747,2429,1758,2951,1.117687476,0.057242601
PTPRJ,234,337,198,346,266,331,0.960911403,0.220468836
OR4C5,2,2,0,0,0,2,0.982869197,0.642957866
TRIM49B,0,0,0,2,0,0,0.985865131,0.618501958
FOLH1,2,0,0,2,0,2,0.997368377,0.93940167
OR4C13,0,0,0,2,0,0,0.802342218,0.118236695
OR4C45,0,0,0,2,0,0,0.913398317,0.046899395
OR4P4,0,0,0,0,0,2,0.977057204,0.349103064
OR4C6,2,0,0,0,0,4,0.988347499,0.705147927
OR8H2,0,0,0,0,0,2,0.994888244,0.847396096
OR8K5,0,0,0,0,0,2,0.65061361,0.001790536
OR8K3,0,0,0,0,2,0,1.030007758,0.263314165
OR5AR1,0,0,0,0,0,2,1.053930555,0.256004208
OR9G1,0,0,0,0,0,2,1.064428319,0.210549784
LRRC55,0,0,0,0,2,0,0.947593824,0.260654619
TNKS1BP1,3991,5278,4415,6984,4711,7298,0.974066291,0.552997736
SSRP1,18541,23479,23324,32006,21379,37170,0.946034787,0.41520276
PRG2,0,0,0,4,0,2,1.073226576,0.160319398
AP000781.2,0,6,3,6,2,6,1.063583572,0.254873272
SLC43A3,0,9,3,2,2,4,0.787197209,7.94951E-05
RTN4RL2,22,34,26,33,15,47,0.87978712,0.015560723
SLC43A1,208,327,314,396,268,498,1.020602984,0.5799185
TIMM10,666,847,653,1138,818,1449,1.039233339,0.213815329
SMTNL1,0,2,2,4,0,2,1.129313847,0.198473872
UBE2L6,109,188,130,233,136,198,1.057939387,0.414094167
SERPING1,204,386,272,408,256,429,1.235675176,0.004005267
YPEL4,2,7,4,12,2,4,0.972885264,0.304432157
CLP1,510,673,554,886,684,1072,0.979506663,0.400897116
ZDHHC5,1530,2094,1580,2348,1907,2867,1.285268897,0.00191645
MED19,404,628,502,706,504,910,1.008268902,0.810160775
AP001931.2,7227,9430,8079,11469,8279,13942,1.008350008,0.724676763
TMX2,1023,1464,1212,1626,1197,1869,0.988416513,0.817296758
SELENOH,353,505,509,617,507,897,1.423653753,0.000278899
AP001931.1,2414,3298,2708,3916,2880,4864,0.969333327,0.373725268
BTBD18,6,0,2,2,2,0,1.046337534,0.482912063
CTNND1,7836,10215,8730,12505,9002,15103,1.00199011,0.950871337
OR9Q1,0,0,1,2,4,3,6.533732747,1.88385E-16
OR9I1,2,0,2,0,4,2,0.968201238,0.517613848
OR5B2,0,0,0,0,0,2,0.979372782,0.53613792
LPXN,30,30,24,39,30,45,0.955328775,0.324975838
ZFP91,6935,9331,8175,11983,8945,13842,0.977921676,0.50318652
ZFP91-CNTF,5763,7592,6808,9797,7490,11394,0.953285566,0.36149175
CNTF,2,7,7,17,1,15,1.217242995,0.00546217
GLYATL1,0,4,6,2,2,14,0.997868987,0.968479493
FAM111B,658,762,730,1132,808,1261,1.005653077,0.807848071
FAM111A,289,495,432,428,360,736,1.018341614,0.814926898
DTX4,244,326,320,472,316,506,1.296547233,6.54984E-06
MPEG1,0,0,0,0,0,2,1.056838267,0.082537351
OR5AN1,0,0,0,0,0,2,1.59634182,0.000215857
OR5A2,0,0,0,2,0,0,0.919515072,0.832868438
OR4D6,0,0,0,2,0,0,0.722979734,1.28948E-07
OSBP,2258,3082,2989,3625,2872,4948,1.107160902,0.039006946
PATL1,1413,1843,1682,2295,1784,2759,0.991562984,0.850613301
STX3,2035,2425,1996,3118,2409,3564,0.943434308,0.165022432
MRPL16,818,1053,975,1308,974,1609,1.044524706,0.386073876
TCN1,0,6,0,4,0,2,1.131999558,0.003149332
OOSP1,0,0,1,0,4,0,1.107217883,0.128077889
MS4A4E,0,0,0,2,0,0,1.361354278,0.007375085
MS4A14,0,0,0,0,0,2,0.992032179,0.788188406
MS4A1,0,0,2,4,0,0,0.975888732,0.448194841
MS4A8,0,0,0,0,2,0,0.933787538,0.0506259
MS4A15,8,14,4,8,16,12,0.889350441,0.028471851
CCDC86,2665,3511,3254,4448,3290,5375,1.012534385,0.601183615
PTGDR2,90,161,101,148,120,190,0.986961547,0.792064007
ZP1,2,0,0,1,0,4,0.983095763,0.607830308
PRPF19,1322,1675,1414,2070,1528,2483,1.041808994,0.102197046
TMEM109,219,268,251,294,252,416,1.10652745,0.031598576
TMEM132A,413,514,400,662,462,715,1.037074527,0.249026872
SLC15A3,11,7,8,9,5,17,1.022009688,0.606826942
CD6,0,4,0,4,0,0,0.983727564,0.669538589
CD5,0,2,0,0,0,2,1.010503495,0.770317022
VPS37C,324,475,452,614,443,698,0.892252889,0.006539807
PGA3,0,0,0,2,0,0,0.997128596,0.920841829
PGA4,0,0,0,0,0,2,1.217131969,0.000302013
PGA5,2,2,4,0,0,2,1.019481995,0.588892369
VWCE,289,420,336,457,301,594,1.013409744,0.710288637
DDB1,7120,9560,8440,11587,8685,14674,1.059337874,0.4503432
TKFC,689,1117,797,1201,849,1593,0.968410849,0.572295227
CYB561A3,73,120,86,120,74,205,1.20468669,0.137279656
TMEM138,90,182,147,211,137,214,1.003507821,0.899983359
TMEM216,52,53,74,72,58,105,1.010529757,0.628417541
CPSF7,907,1183,1058,1525,988,1892,1.066439307,0.138964869
AP003108.2,691,916,816,1066,832,1319,1.127403081,0.300864669
SDHAF2,634,827,736,958,761,1170,0.996252168,0.914312857
PPP1R32,4,2,8,6,4,2,1.003140447,0.931905418
SYT7,20,32,38,44,46,41,1.014903817,0.721286024
DAGLA,257,297,265,367,318,507,0.960874521,0.144325748
MYRF,1041,1468,1279,1795,1279,2159,0.977910347,0.412146031
TMEM258,147,184,186,223,160,314,1.110822152,0.006959382
FEN1,1358,1755,1787,2446,1602,2966,1.022666307,0.628021438
FADS2,985,1731,2007,2122,1529,3581,0.987298167,0.582837227
FADS1,3114,5166,5516,6352,4199,9077,0.997666393,0.937878945
FADS3,376,456,309,453,438,585,1.019511551,0.509996966
RAB3IL1,14,46,26,40,30,40,0.991372503,0.730394669
BEST1,10950,16741,12287,17867,13487,21027,0.970126244,0.428275292
FTH1,16450,25316,18751,27015,20811,31777,0.357976313,0.000158433
INCENP,4041,5512,5618,8034,5130,8961,0.982127229,0.657803204
ASRGL1,1252,2030,2019,2493,1462,3328,0.937677529,0.535105077
SCGB1A1,0,0,0,2,0,0,0.501132633,0.0006773
AHNAK,4040,5097,4290,5842,5075,7443,0.985998466,0.622860005
EEF1G,22425,30364,27574,37501,27189,47442,0.997442821,0.926884248
AP002990.1,22540,30552,27731,37735,27344,47740,13.65282254,6.47615E-11
TUT1,249,397,325,490,319,527,0.979919133,0.390515625
MTA2,2014,2512,2141,3225,2503,3692,1.011107093,0.695783254
EML3,188,250,158,229,158,279,1.0015347,1
ROM1,39,60,48,74,40,62,1.169483074,0.021941052
B3GAT3,98,133,117,136,103,188,0.96880421,0.357407243
GANAB,1867,2614,2149,2971,2227,3819,1.012838422,0.604097819
INTS5,50,62,90,82,68,113,1.007998322,0.823302811
AP001458.2,2925,3787,3181,4483,3616,6302,0.965866842,0.307841349
C11orf98,3029,3900,3252,4622,3715,6497,5.057422142,0.001068612
LBHD1,3270,4237,3606,5074,3992,7132,0.99512674,0.828661366
