Geneid,GroupA_1,GroupA_2,GroupA_3,GroupB_1,GroupB_2,GroupB_3,foldchange,pvalue
SAMD11,176,221,197,267,223,384,0.804691873,0.275273169
NOC2L,7765,9849,8465,12931,9791,14300,0.987712092,0.583687005
KLHL17,117,138,123,184,148,184,1.000489418,0.988122085
PLEKHN1,240,314,284,359,310,389,1.074607557,0.052461639
PERM1,54,58,30,72,55,73,0.983646157,0.540411916
HES4,73,122,74,106,103,123,0.968116784,0.342761898
ISG15,299,422,332,482,382,614,0.974608186,0.50979697
AGRN,1836,2721,2184,3007,2358,3686,0.984990083,0.560902226
RNF223,0,2,0,2,2,2,1.078718018,0.042176436
C1orf159,34,50,47,100,70,57,1.011702008,0.790377252
TTLL10,2,0,0,0,0,2,1.067763565,0.191986212
SDF4,5340,7269,5543,8487,6382,10336,1.0037641,0.835754716
B3GALT6,162,179,166,237,195,297,0.942406539,0.118284442
C1QTNF12,0,0,0,3,0,4,1.016063554,0.588888029
UBE2J2,1467,1858,1915,2354,1766,2861,0.988320925,0.76932714
SCNN1D,8,10,0,6,8,8,0.979934098,0.674558775
ACAP3,966,1388,1046,1574,1175,1623,0.926733465,0.05157256
PUSL1,122,147,112,155,119,271,1.08912552,0.024402979
INTS11,958,1258,1059,1661,1192,1929,0.616113004,2.20825E-05
CPTP,120,190,162,235,181,253,0.100878149,2.97612E-08
TAS1R3,2,4,1,11,0,6,1.100807145,0.429243983
DVL1,1257,1713,1306,2094,1616,2042,0.995771212,0.814746836
MXRA8,397,480,318,511,410,611,0.987485589,0.559208601
AURKAIP1,2251,2822,2624,3536,2910,4614,1.096837342,0.094229788
CCNL2,2422,3271,2576,3649,2936,4483,0.66886075,0.019260622
MRPL20,1074,1408,1271,1697,1306,2145,0.738343692,4.0314E-06
ANKRD65,461,712,642,840,598,1119,1.085438912,0.118125532
TMEM88B,3,2,14,11,9,32,0.997100753,0.905169921
VWA1,846,1145,1088,1497,1024,1869,0.960596903,0.501263725
ATAD3C,78,95,89,105,59,131,1.001972478,0.942033885
ATAD3B,1642,2137,1644,2880,2217,3045,0.996279295,0.863801181
ATAD3A,4922,6122,5166,7877,6032,8972,1.121447975,0.060143927
TMEM240,0,0,2,2,2,4,0.987131959,0.611487851
SSU72,2005,2640,2105,3258,2535,3893,1.021757847,0.579641523
FNDC10,8,8,4,16,6,28,2.880480987,2.6767E-10
MIB2,201,268,252,365,249,415,0.998964321,0.965557465
MMP23B,6,9,2,0,6,16,0.997448425,0.925882373
CDK11B,11480,15162,13826,19727,14472,21816,0.896568899,0.031877173
SLC35E2B,361,399,313,501,371,636,1.051428611,0.119428937
CDK11A,6691,8880,7537,11059,8171,12129,2.145231352,1.86747E-15
SLC35E2A,84,111,94,156,108,171,0.982750795,0.479740707
NADK,937,1193,1066,1555,1093,1827,0.987334841,0.70818586
GNB1,12761,17731,15622,22165,16875,23806,1.135791115,0.491063755
CALML6,2,4,10,6,0,4,0.587428362,2.0621E-16
TMEM52,40,31,24,28,20,65,1.015413131,0.691149883
CFAP74,25,66,41,60,35,78,1.032937238,0.345691914
GABRD,2,0,1,2,0,1,1.044659713,0.225618033
PRKCZ,1117,1626,1111,1678,1453,2015,1.17339308,0.718866525
FAAP20,409,612,437,637,497,835,1.076248715,0.156043328
SKI,1234,1893,1480,2126,1518,2649,0.955046303,0.305667948
MORN1,222,275,257,346,238,333,1.034778261,0.36161463
RER1,983,1382,1150,1603,1214,1918,1.146983523,0.280126183
PEX10,508,683,576,706,592,916,0.947671975,0.051346051
PLCH2,63,106,27,85,76,56,0.972159301,0.287729825
PANK4,281,354,318,450,334,523,0.993452302,0.910686996
HES5,3,2,4,0,4,2,1.028038403,1
TNFRSF14,106,186,111,162,125,211,0.980153412,0.583005583
PRXL2B,262,358,300,396,254,468,0.960665142,0.414537922
MMEL1,31,40,40,49,34,60,1.041342752,0.452724046
TTC34,2,2,0,2,0,0,0.937248404,0.21788579
PRDM16,20,47,30,55,42,50,0.995869911,0.870281702
ARHGEF16,337,479,412,527,374,713,0.975335515,0.509275964
MEGF6,384,585,401,622,530,640,1.062969052,0.100188242
TPRG1L,570,820,636,894,757,1086,1.262459852,0.003971011
WRAP73,149,218,206,302,211,350,0.833836458,0.00531444
TP73,36,39,11,59,30,38,1.103963363,1
CCDC27,9,15,4,6,6,18,0.976735802,0.446344413
SMIM1,61,122,110,125,102,198,0.987172283,0.624436584
LRRC47,928,1295,1125,1684,1232,1919,0.96923584,0.513646583
CEP104,2000,2454,2149,3209,2420,3473,0.870323219,7.95983E-05
DFFB,214,248,232,288,188,393,1.006309673,0.862530635
C1orf174,96,162,101,240,124,288,1.385807857,0.365180389
AJAP1,0,6,2,2,2,2,0.95481766,0.166313326
NPHP4,91,156,154,178,143,205,0.993275679,0.75943757
KCNAB2,182,273,164,294,238,318,1.505022048,0.002192024
CHD5,48,40,44,72,38,84,1.045904901,0.153992344
AL031847.1,25023,32273,31347,41432,30469,54230,2.102924591,2.09887E-06
RPL22,26472,34344,33113,43905,32429,57491,1.310973805,0.00677579
RNF207,114,134,133,166,125,217,1.093559862,0.885576584
ICMT,566,800,696,942,732,1264,0.96058053,0.238999654
HES3,0,0,0,2,2,4,0.81680897,0.646180806
GPR153,10,14,6,14,4,13,0.752791638,0.211334583
ACOT7,952,1261,957,1535,1178,1896,1.004896072,0.885492648
HES2,178,201,186,320,253,344,6.205429841,2.83932E-18
ESPN,736,1408,1251,1372,814,1813,0.993562383,0.793782857
TNFRSF25,18,28,25,39,10,25,1.04280739,0.115482345
PLEKHG5,782,1063,740,1275,1032,1271,1.005899746,0.86755841
NOL9,358,471,413,629,458,576,0.997662613,0.922241214
TAS1R1,4,8,12,6,11,10,0.995533999,0.871750614
ZBTB48,90,119,117,166,134,226,0.48764893,5.65214E-05
KLHL21,532,747,592,922,674,922,0.969252071,0.417978553
PHF13,209,284,325,332,246,428,1.025421565,0.404836241
THAP3,291,352,290,393,311,517,1.001807498,0.931015554
DNAJC11,4437,5952,5132,7433,5682,8220,1.014402507,0.617513539
CAMTA1,740,955,971,1195,897,1641,0.979563796,0.614810549
VAMP3,728,1108,910,1197,900,1442,1.026239447,0.362461542
PER3,128,192,146,188,142,316,1.006880575,0.81973501
UTS2,1,8,10,6,16,24,0.987703126,0.652457383
TNFRSF9,4,0,0,0,2,0,1.033192377,0.339544497
PARK7,4446,5972,4893,6948,5032,8729,0.997274924,0.938368309
ERRFI1,5172,6999,4324,6860,5875,6616,0.878181081,0.006003576
SLC45A1,0,4,0,0,8,0,0.98532934,0.646718078
RERE,4442,5654,4336,6554,5054,7046,0.975498617,0.413913793
ENO1,37562,52659,40663,61885,46405,66522,1.019962504,0.488345225
SLC2A5,0,4,0,0,2,2,0.970181795,0.377197001
GPR157,307,406,304,420,332,432,0.944185213,0.281413724
H6PD,557,792,542,868,615,906,1.125278783,0.010752764
SPSB1,338,429,290,506,431,385,0.961823357,0.385148775
SLC25A33,740,1134,1240,1425,983,1926,0.972285368,0.297352364
TMEM201,122,168,153,230,163,216,0.8242624,0.054319967
PIK3CD,225,331,212,310,279,391,0.32359335,4.05448E-05
CLSTN1,3041,4112,3672,4966,3522,6218,0.988465456,0.652316192
CTNNBIP1,2370,3383,2701,3620,2928,4742,0.941554607,0.410910408
LZIC,2998,4144,3601,5079,3933,6414,1.030992724,0.40090759
NMNAT1,427,677,583,785,632,908,0.988320843,0.688419499
RBP7,30,38,22,22,14,46,0.999880014,0.996974257
UBE4B,834,1241,1069,1445,1008,1837,0.966645577,0.254792053
KIF1B,3957,5140,4100,5910,4704,6970,0.53331368,3.03927E-19
PGD,7310,9837,9171,12709,9699,15780,0.996177851,0.890451904
CENPS-CORT,627,927,804,1077,747,1357,0.882766475,0.062896699
CENPS,627,934,800,1076,751,1354,0.995571201,0.880218692
CORT,16,27,34,22,18,33,0.926087767,0.095407115
DFFA,1229,2017,1334,1973,1710,2185,1.237439309,0.23853388
PEX14,726,1044,872,1172,914,1278,1.019432134,0.670056473
CASZ1,235,333,227,377,281,442,1.260139471,0.003884962
C1orf127,0,2,0,0,0,2,1.008401041,0.736206198
TARDBP,8025,10909,10293,14261,10107,17169,1.061521888,0.189305215
AL109811.3,4905,6486,6128,8660,6204,10338,1.029612105,0.354026516
MASP2,63,143,101,119,99,216,1.005718536,0.808362117
SRM,1270,1528,1241,1829,1414,2073,1.054888686,0.45839917
EXOSC10,3065,3707,3328,4940,3702,5700,0.990094809,0.730799659
MTOR,2062,2720,2226,3174,2484,3539,0.895377987,0.09472304
ANGPTL7,0,0,0,0,0,4,1.008241065,0.822697855
UBIAD1,253,325,230,361,288,388,0.970562994,0.281642546
DISP3,2,8,4,2,2,0,1.002364619,0.948810745
FBXO2,4206,6089,5433,7442,5442,9257,0.994113666,0.801303871
FBXO44,1660,2437,2214,2961,2188,3732,1.005267715,0.834219996
FBXO6,22,33,31,23,29,66,0.985315232,0.819056469
MAD2L2,358,498,494,618,514,780,0.729799319,0.003213583
DRAXIN,2,5,4,7,6,5,0.985704774,0.762145416
AGTRAP,50,72,52,68,52,80,1.014575091,0.551691828
C1orf167,24,18,27,38,23,22,1.022965363,0.544964191
MTHFR,284,497,462,582,407,761,0.973035429,0.379196786
CLCN6,513,843,763,902,649,1357,0.82674233,0.021525735
NPPA,21,21,21,26,17,71,1.001658865,0.960492071
NPPB,2,0,0,0,2,0,0.999384461,0.97903697
KIAA2013,617,820,679,1036,670,1223,0.20266751,1.04E-06
PLOD1,1958,3098,2434,3162,2461,4167,0.896210148,0.021701509
MFN2,3330,4310,3418,5127,3781,5696,0.69330537,0.037449186
MIIP,161,181,192,190,166,267,0.992348917,0.808925116
TNFRSF1B,2,0,0,4,2,0,0.969087004,0.384759671
VPS13D,720,975,763,1163,775,1328,1.028945969,0.406647805
DHRS3,332,605,491,559,431,807,1.154382046,8.31039E-05
PRAMEF12,0,0,0,0,2,0,0.98004338,0.527439017
HNRNPCL1,13,23,29,17,15,59,0.988684352,0.624916968
PRAMEF7,0,0,0,2,0,0,1.016332598,0.557646167
HNRNPCL2,22,17,29,47,38,50,0.983393043,0.565924131
HNRNPCL4,6,6,5,5,5,7,1.058796627,0.307784221
PRAMEF8,0,4,4,2,0,0,0.962165575,0.271640726
LRRC38,0,0,0,0,0,6,0.979865084,0.368401288
PDPN,0,0,0,0,0,2,1.019922269,0.637135389
PRDM2,968,1294,1036,1586,1070,1658,0.990632596,0.826080624
KAZN,325,478,489,578,432,888,0.974637451,0.509729306
TMEM51,279,508,340,522,296,568,0.988859552,0.721950658
FHAD1,20,21,18,34,25,18,1.018338272,0.508274155
EFHD2,2821,3501,2405,4496,3433,4071,1.025829952,0.513972468
CELA2B,4,1,1,0,7,0,1.121932895,0.01944109
CASP9,96,112,99,165,119,204,0.958105778,0.727288306
DNAJC16,475,641,597,730,546,908,1.007660494,0.716067501
AGMAT,1031,1543,1244,1731,1326,2294,0.959092628,0.296960956
DDI2,1048,1526,1412,1810,1352,2466,1.151637297,0.051073828
RSC1A1,197,298,256,269,248,392,1.130267807,0.185539348
PLEKHM2,1131,1569,1200,1832,1380,1910,1.023648881,0.425728575
SLC25A34,2,4,0,3,4,1,0.991799268,0.803113302
TMEM82,0,4,0,2,0,0,0.833169776,1.14951E-06
FBLIM1,1460,1758,1087,2146,1702,2059,1.026107631,0.482358034
UQCRHL,860,1350,1092,1408,944,1777,0.954418535,0.218351947
SPEN,3794,5059,4435,6563,4576,7265,1.011199015,0.735264336
ZBTB17,1148,1522,1152,1768,1466,1965,0.736212626,0.000146583
SRARP,148,262,295,239,171,456,1.023661863,0.694295319
HSPB7,0,0,0,4,0,2,1.092423423,0.053952468
FAM131C,0,0,2,0,0,2,0.973032378,0.488164271
EPHA2,1821,2325,2076,2798,2161,3509,1.080698015,0.095044462
ARHGEF19,17,32,20,26,10,40,0.963634693,0.251690035
CPLANE2,8,21,6,16,8,22,0.979784059,0.418064859
FBXO42,218,288,281,335,195,388,0.986180484,0.601512106
SZRD1,2277,3202,2434,3676,2698,4332,0.970757109,0.36951047
SPATA21,416,543,353,664,438,752,0.887313551,0.385166427
NECAP2,872,1124,1032,1402,1145,1712,0.889682332,0.011083821
NBPF1,3285,4843,3982,5434,4381,6426,0.954733701,0.365942944
CROCC,176,203,158,274,192,298,0.979982941,0.622034518
MFAP2,32,24,21,28,20,42,0.878865713,0.073395285
ATP13A2,467,545,475,657,540,772,0.976318524,0.723990656
AL049569.3,117,133,115,131,128,187,0.949129311,0.191957893
SDHB,624,695,662,970,736,1178,1.010661546,0.75853923
PADI2,0,0,1,0,2,0,1.176433161,0.026618318
PADI1,2,0,4,2,0,6,0.887992611,0.443818801
PADI4,0,2,0,0,0,2,0.921085767,0.004312511
PADI6,2,2,0,0,0,6,0.96532219,0.337191681
RCC2,1366,1682,1543,2126,1559,2569,2.065507747,0.079834306
ARHGEF10L,641,893,805,1110,756,1475,0.951911054,0.086661084
ACTL8,4,6,12,12,2,12,0.567143964,0.517393651
KLHDC7A,126,156,114,154,124,176,0.915350139,0.010913026
PAX7,0,2,0,2,2,0,0.970910646,0.323294396
ALDH4A1,601,963,758,1037,734,1355,1.013701346,0.60837729
IFFO2,1683,2140,1621,2620,2119,2681,0.989924345,0.853254742
UBR4,5513,7227,5403,8452,6690,9272,1.067699875,0.098727306
EMC1,2739,3947,2729,4286,3160,4976,0.918715312,0.11884586
MRTO4,1381,1892,1503,2431,1686,2528,0.84256546,9.15099E-07
AKR7L,9,14,12,14,9,33,0.88805653,0.000872046
AKR7A3,0,8,7,14,8,4,1.02355192,0.438474625
AKR7A2,340,476,347,501,387,607,1.033305782,0.150400429
SLC66A1,255,323,241,364,272,392,0.99150093,0.649949435
CAPZB,2955,4176,3630,5141,3645,5907,0.623373449,1.16016E-12
MICOS10,673,892,758,1062,808,1323,1.021903415,0.548458687
NBL1,667,924,771,1172,844,1371,0.547514377,1.78843E-06
MICOS10-NBL1,680,879,774,1101,827,1318,1.00577456,0.78499148
TMCO4,98,190,115,154,113,166,0.97775678,0.436352825
RNF186,0,0,2,2,0,0,1.00483126,0.904534866
OTUD3,521,589,566,816,600,892,0.791964455,6.04959E-08
PLA2G2E,0,2,4,0,1,0,0.844177963,5.58977E-05
PLA2G2A,227,349,349,403,247,711,1.01095102,0.754803437
PLA2G5,0,4,0,0,0,2,0.979260273,0.522015765
PLA2G2C,0,0,0,0,2,0,0.575682064,1.53929E-13
UBXN10,0,4,0,0,2,0,1.00444116,0.88718429
CAMK2N1,5889,7688,6491,9546,6770,10331,1.057905158,0.641077268
MUL1,597,809,656,1038,782,1256,0.895517275,0.822369736
FAM43B,52,38,60,78,52,92,1.722150443,3.70761E-07
CDA,137,146,50,172,193,113,0.621211515,2.64848E-06
PINK1,420,494,326,556,464,670,0.403852224,0.014056276
DDOST,1968,3077,2404,3347,2370,4402,0.917995891,0.017006426
KIF17,95,117,68,85,91,127,1.003460696,0.903426802
SH2D5,440,592,233,673,548,563,1.012077289,0.958301569
HP1BP3,2517,3570,3160,4156,3023,5133,0.991182093,0.730489954
EIF4G3,4734,6517,5015,7638,5909,8565,0.850970353,0.100547089
ECE1,1012,1309,1129,1695,1150,1976,1.005076145,0.845747371
NBPF3,173,221,172,230,209,336,0.999597856,0.989556046
ALPL,4,4,0,0,2,4,0.975785219,0.42884679
RAP1GAP,863,1202,945,1276,920,1753,0.799669009,2.92633E-11
USP48,3277,4408,3787,5232,3859,6241,1.015566497,0.502765024
LDLRAD2,483,636,449,650,576,801,0.976374157,0.472720852
HSPG2,1834,2370,1627,2516,2218,2852,4.643619868,0.002682185
CELA3B,0,2,0,0,1,0,1.06006302,0.472498897
CELA3A,0,2,2,2,4,2,0.993867135,0.837467239
CDC42,2480,3289,2767,4176,3059,4646,0.95916824,0.19811385
ZBTB40,1269,1804,1560,2259,1598,2658,1.000823276,0.972346621
EPHA8,4,0,0,0,4,2,1.000903406,0.966641908
C1QC,0,0,0,2,0,0,0.970377129,0.282296017
C1QB,0,0,0,2,0,0,1.002803346,0.919289177
EPHB2,0,14,4,4,6,10,0.97333686,0.381575761
TEX46,0,0,0,3,0,0,0.977628871,0.410722123
KDM1A,5976,7236,6445,9504,7114,11090,0.991271465,0.716403386
LUZP1,2649,3267,2681,3970,3099,4148,0.998195516,0.946038473
HTR1D,2,2,4,0,2,0,0.994630004,0.84522863
HNRNPR,21716,29349,28019,39787,27695,45904,1.013853384,0.685885121
ZNF436,226,260,189,273,180,356,1.18105642,0.707152631
TCEA3,1920,2966,2960,3800,2348,5073,1.027236645,0.423693931
ASAP3,651,957,855,1240,780,1608,1.120121947,0.000190779
E2F2,56,73,55,66,68,99,1.02135955,0.526363821
ID3,258,302,226,352,326,420,1.024731994,0.47479927
RPL11,8736,11976,10149,13529,10117,17323,0.962793016,0.243913741
ELOA,3349,4383,3742,5159,4216,5909,1.006089369,0.947077335
PITHD1,852,1277,872,1609,1251,1503,0.880719101,0.003340143
LYPLA2,1019,1256,938,1475,1182,1883,0.995032499,0.847754136
GALE,423,606,559,735,511,897,1.040345434,0.540560543
HMGCL,148,247,160,199,169,264,0.984841614,0.511406034
FUCA1,316,482,395,524,352,705,0.99500869,0.866336347
PNRC2,2767,3658,3729,4777,3559,6068,0.982402639,0.467010296
SRSF10,5957,7937,6799,10375,7330,12164,0.940686852,0.079886926
MYOM3,1778,2492,1681,2733,2137,2768,1.045303922,0.229844733
IL22RA1,46,70,47,72,50,80,1.446139218,0.168917324
IFNLR1,184,276,215,344,229,309,0.994925422,0.857692858
GRHL3,0,6,2,6,2,10,1.006551874,0.834680544
STPG1,199,231,164,298,247,262,0.982046362,0.511338597
NIPAL3,414,551,311,562,503,539,0.290797184,0.118117437
RCAN3,706,820,717,1012,783,1137,1.013518933,0.79968817
NCMAP,43,60,60,64,40,63,1.178310593,0.110575529
SRRM1,7214,8942,7671,12567,8852,13997,0.960205363,0.39097149
CLIC4,1456,2081,1672,2260,1686,2852,1.119395718,0.191188416
RUNX3,4,3,6,8,8,2,0.988984542,0.670302109
SYF2,5817,8248,6823,9368,7520,11313,1.00208348,0.947192699
RSRP1,828,972,937,1222,1001,1784,0.954155368,0.20139525
RHD,6,4,3,5,1,2,1.001054492,0.967553891
TMEM50A,664,882,770,1032,778,1184,0.42374458,2.04768E-06
RHCE,1,10,1,9,7,7,0.81019575,2.43583E-09
MACO1,1795,2483,2058,2918,2119,3689,0.785706905,1.91962E-06
LDLRAP1,326,433,342,558,431,539,1.01391043,0.60902727
MAN1C1,4,26,8,12,4,5,1.001633971,0.960212968
SELENON,324,517,328,505,408,625,0.898651897,0.025226444
AL020996.2,215,272,184,324,265,361,1.1066206,0.089474
MTFR1L,314,409,296,486,338,549,0.791559886,3.44283E-06
AUNIP,186,222,226,257,216,395,0.960247894,0.181329393
PAQR7,266,415,370,438,338,603,0.95046091,0.135724804
STMN1,16384,21040,20533,29620,19052,33805,0.959531508,0.133367365
PAFAH2,201,298,202,329,220,356,0.987720028,0.683500647
EXTL1,6,2,0,2,0,6,0.960871462,0.171044383
PDIK1L,52,48,49,74,46,60,0.995061815,0.838279692
FAM110D,0,0,0,2,0,0,0.983998583,0.599049554
AL391650.1,396,523,342,622,456,756,0.99997552,1
ZNF593,396,522,342,621,456,754,1.003883069,0.898567915
CNKSR1,64,103,70,102,63,118,0.514932817,0.006804463
CATSPER4,0,0,0,0,0,6,1.037964996,0.179028661
CEP85,1090,1258,1015,1765,1186,1923,0.987650162,0.625693305
SH3BGRL3,352,456,352,540,430,520,1.234128469,0.000211007
UBXN11,340,350,287,406,361,499,0.993109464,0.769574911
CD52,2,0,2,0,0,4,1.058957204,0.125710125
CRYBG2,269,327,220,394,332,384,1.62697556,0.000129103
LIN28A,0,0,0,2,4,8,1.667338665,0.046484806
DHDDS,1033,1401,1089,1618,1424,1753,0.626035779,0.471999982
HMGN2,4223,5779,6257,7565,5054,10418,0.997092325,0.919730504
RPS6KA1,484,686,523,795,573,908,0.890224048,0.009376254
ARID1A,2773,3669,3102,4552,3415,5248,0.577728493,2.66475E-05
PIGV,54,78,46,82,74,107,0.9956326,0.893507332
ZDHHC18,202,248,164,257,208,316,1.001624442,0.952003436
SFN,4438,4918,3005,5931,5514,5359,0.925075682,0.018048744
GPN2,320,405,282,497,280,608,0.955967633,0.106241318
GPATCH3,1004,1393,1270,1768,1332,2011,1.053414261,0.268655926
NUDC,43149,56124,45268,69988,53344,79193,0.995245252,0.904802207
NR0B2,170,203,213,237,198,404,1.010943998,0.675752022
KDF1,16,30,22,38,32,38,0.996890896,0.894188565
TRNP1,1450,1752,1367,2055,1763,2296,1.001177936,0.958182136
TENT5B,6,22,8,14,16,20,0.987696765,0.666814998
SLC9A1,188,328,231,394,299,443,0.992754129,0.745706834
WDTC1,212,248,258,280,250,417,1.00404987,0.877711306
TMEM222,63,102,63,88,78,149,1.032263326,0.245302814
SYTL1,216,268,182,303,212,363,1.002721083,0.906729098
MAP3K6,88,138,84,138,135,134,0.99735085,0.909956026
FCN3,0,0,0,2,0,0,0.877917839,0.005184357
CD164L2,0,0,0,0,0,2,1.002278604,0.919658982
GPR3,56,66,50,74,60,82,1.436765292,5.98571E-08
WASF2,1404,1847,1604,2296,1710,2565,0.757317576,9.04104E-06
AHDC1,188,219,252,304,179,408,0.908930583,0.004324542
FGR,0,0,0,0,2,0,1.006010124,0.802268007
IFI6,53,105,44,78,63,71,1.312760472,0.019622083
FAM76A,333,468,407,599,472,730,0.973862123,0.425637462
STX12,438,551,383,627,550,757,0.940883275,0.041459741
PPP1R8,1562,1922,1616,2597,1928,2770,0.997479724,0.905875732
THEMIS2,4,16,14,23,12,16,1.00730929,0.743594516
RPA2,644,792,748,994,692,1214,2.172011269,5.25777E-08
SMPDL3B,4,16,0,22,22,4,0.909448423,0.022198436
XKR8,38,52,42,70,48,78,0.973557443,0.426657139
EYA3,540,690,550,822,602,1015,0.455626659,1.01897E-10
PTAFR,56,108,48,84,38,92,0.900476882,0.041339812
DNAJC8,17978,23224,21694,30600,22716,36173,1.020294794,0.489812093
ATP5IF1,4771,7299,6065,8262,5877,10530,1.050911052,0.117644535
SESN2,554,809,491,825,606,886,0.998204653,0.938618007
MED18,121,189,144,216,126,252,0.867656876,0.002525452
PHACTR4,2521,3148,2738,3942,2930,4756,0.941084658,0.154556966
RCC1,3388,4639,4643,6127,4368,7714,0.917828401,0.01078208
TRNAU1AP,210,258,217,275,226,289,1.004264423,0.841934124
TAF12,416,535,520,697,518,790,7.348574286,0.075793071
RAB42,169,286,232,269,149,318,0.261050455,1.19638E-16
GMEB1,452,629,451,757,590,841,0.859852728,0.001507783
YTHDF2,1088,1528,1312,1891,1352,2236,1.011921415,0.743648257
OPRD1,4,6,0,6,1,6,0.889093592,0.004879121
EPB41,2205,3160,2857,3716,2633,4778,5.104943577,7.2954E-13
TMEM200B,74,117,88,125,63,169,0.96005414,0.193928582
SRSF4,11083,15771,14539,19927,13961,25653,1.032752263,0.404166822
MECR,108,168,111,184,140,220,0.927816501,0.205430311
PTPRU,464,709,694,918,650,1130,1.047382075,0.174854268
MATN1,0,0,2,8,0,6,0.837475378,0.003676282
LAPTM5,2,24,4,8,8,22,0.920492254,0.048927145
SDC3,152,230,166,310,174,242,1.243833982,0.002459591
PUM1,2555,3692,3182,4559,3188,5203,0.981367751,0.661042766
NKAIN1,7,18,12,23,6,23,9.28855659,1.69869E-09
SNRNP40,1241,1440,1600,2034,1431,2662,1.041163337,0.147857221
ZCCHC17,5891,7260,6801,9124,7109,11677,1.037939299,0.595274781
FABP3,12,18,8,14,16,18,0.576084764,0.043062971
SERINC2,219,342,171,303,221,339,0.976452511,0.610383308
TINAGL1,220,383,278,380,238,458,1.033002237,0.279337376
HCRTR1,8,8,11,8,16,13,0.987496447,0.794503501
PEF1,270,348,274,392,329,558,1.018946352,0.671770982
COL16A1,248,416,339,432,296,514,0.962337762,0.242793699
ADGRB2,4,4,0,2,0,2,1.065028523,0.13926413
SPOCD1,26,41,26,64,46,46,1.00621154,0.804022447
PTP4A2,4183,5433,4360,6790,4990,7115,1.070542361,0.275708293
KHDRBS1,6116,7814,7127,9752,7124,11852,0.98944816,0.716128021
TMEM39B,57,57,71,112,83,98,0.230599256,0.000112452
KPNA6,1813,2568,1995,3001,2212,3312,1.003610467,0.88460847
TXLNA,4373,5753,5010,7168,5605,8721,0.769831257,3.17186E-07
CCDC28B,34,44,30,51,35,72,1.053020979,0.13508002
IQCC,137,171,124,254,145,260,1.392502139,8.61986E-06
DCDC2B,10,24,11,15,17,35,0.980144275,0.512760103
TMEM234,82,125,92,138,110,201,1.068159751,0.270202596
EIF3I,1874,2350,1827,2451,1997,3176,0.987321239,0.953502444
FAM167B,12,4,4,22,7,22,1.006769744,0.805623126
LCK,144,194,186,300,168,320,1.045579234,0.532440829
HDAC1,3883,4665,4157,5865,4468,6625,1.060055568,0.128775996
MARCKSL1,7236,9086,8117,11993,9332,13238,0.988096566,0.658511823
TSSK3,36,29,42,61,22,60,1.090162228,0.163290217
FAM229A,32,42,47,86,27,79,0.926551188,0.078542419
BSDC1,1078,1436,1254,1801,1328,2063,0.84652457,1.32213E-05
AL033529.1,66,100,55,113,76,132,0.617429252,0.000435749
ZBTB8B,2,2,0,2,2,8,1.136709093,0.266497252
ZBTB8A,96,144,98,158,125,236,1.007949355,0.733967411
ZBTB8OS,2848,3835,3069,4316,3373,4873,0.26056115,0.006647239
RBBP4,2520,3293,3101,4087,3121,5318,0.956871841,1
SYNC,823,1133,1001,1292,1074,1697,0.975890988,0.45476921
KIAA1522,807,993,827,1195,1002,1331,1.052720571,0.164332613
YARS1,2616,3994,2697,4322,3221,4632,0.930892109,0.150960147
S100PBP,314,451,354,518,391,612,1.003854429,0.919694198
FNDC5,4,7,0,4,4,10,1.001903657,0.931281427
HPCA,1,4,2,2,3,4,0.996230403,0.916987416
TMEM54,6,16,6,12,21,16,0.97422465,0.346482411
RNF19B,552,747,568,885,657,945,1.026367413,0.495678212
AK2,2202,2865,2378,3339,2463,3923,1.007062598,0.821740834
AZIN2,16,40,25,42,42,58,1.012177972,0.690697799
TRIM62,42,90,54,74,46,86,1.026920881,0.338106796
ZNF362,183,314,310,348,245,489,1.210711463,0.000795794
PHC2,1216,1732,1303,1832,1534,2200,1.044495305,0.09287708
ZSCAN20,90,146,114,162,133,166,1.041454598,0.097456248
CSMD2,0,0,0,2,0,2,0.745184308,1.31933E-06
HMGB4,0,0,0,2,0,0,1.011229483,0.591725899
C1orf94,0,0,0,0,2,2,0.769637673,0.016366229
SMIM12,988,1473,1184,1635,1257,1860,0.98427117,0.441473457
GJB4,0,2,0,2,0,0,0.856854077,0.000135771
GJB3,2,0,0,2,0,6,1.024978434,0.401083415
DLGAP3,6,4,0,0,0,2,0.398795374,6.4902E-05
AC114490.3,33,67,23,43,29,61,0.965466665,0.195811026
AC114490.2,268,305,231,343,262,391,1.014440765,0.598152701
TMEM35B,70,103,46,94,63,94,1.023016645,0.435064366
ZMYM6,326,321,299,416,312,484,0.46242352,6.04251E-05
ZMYM1,182,248,222,340,209,383,9.280150828,4.23976E-20
SFPQ,38624,49952,49900,70222,48484,82619,1.01298769,0.703836824
ZMYM4,1705,2305,2087,2889,2257,3690,1.094940767,0.100483556
KIAA0319L,1547,2166,1705,2409,1953,3104,1.301494731,0.001099169
NCDN,443,523,359,593,415,737,0.118466772,8.97212E-07
TFAP2E,7,14,0,12,11,10,0.457067153,0.000228795
PSMB2,440,599,509,794,557,899,1.853137625,9.2956E-06
C1orf216,16,22,28,27,15,57,0.962281448,0.507386236
CLSPN,2505,3139,3203,5030,3134,5060,0.998063113,0.93215247
AGO4,261,350,269,334,265,378,0.982025866,0.528168821
AGO1,1032,1384,1188,1706,1178,2126,1.001296841,1
